SEASON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1940,18.1,25,27,40.2,53,63,69.6,69.6,61,49,39.2,32.8,45.6
1941,24.5,23.6,26.2,48.2,54.6,66,72.1,67.8,65.1,52.8,43.8,33.8,48.2
1942,24.2,20.9,36.1,46.8,56.4,65.7,68,67.8,62,53.2,40.3,25.2,47.2
1943,21.2,25.8,30.3,36.9,51.8,65.7,71.6,68.8,60.8,48.4,37.5,26.6,45.4
1944,29.7,25.1,30,41.1,63.4,67.1,72.4,71.8,63.6,50.2,42,25.4,48.5
1945,16.2,26.2,44.4,49.8,50.7,64,70.2,69.8,64.2,49.8,40.9,23.8,47.5
1946,27.4,24.7,44.5,44.4,55,63.9,71.2,66,64.4,56.6,44.4,31.5,49.5
1947,29.9,21.6,29.9,43.8,52.8,65.8,68.6,75.2,64,59.8,38,28.3,48.1
1948,18.6,25.2,35,48.8,53.2,65.2,72,70.2,64.9,49.6,47.1,32.4,48.5
1949,31.2,31.8,33.6,45.5,57.6,72.2,74.3,71.6,58.8,57.2,38,33.3,50.4
1950,35,24.8,28.3,39.9,57.3,65,69,68.6,60.7,54.7,39,27.1,47.5
1951,28.5,27.4,35.3,45,57.5,66.3,70.4,68.5,61.3,54.6,34.3,30.6,48.3
1952,28.5,29.1,33.5,48.2,53.9,67.3,74.3,70.1,63.1,46.5,42.9,33.3,49.2
1953,31.3,30.7,36.6,44,56.4,67.5,71.6,70.5,63,54.3,43.9,34.6,50.4
1954,23.5,33.1,32.9,47.3,54.5,68.2,69.6,66.9,62.3,53.9,41.7,28.7,48.5
1955,24.8,27.9,33.8,51,59.4,66.8,76,73.8,62,54,38.7,25.1,49.4
1956,24.6,28.3,30.6,43,53.1,66.4,68.9,69,58.9,55.3,42,34.2,47.9
1957,20.6,30.8,35.9,48.8,54.7,69.1,69.8,67.3,62.4,50.1,40.8,34.8,48.7
1958,25.1,20.4,34.5,48.2,54,61.9,71.3,68.9,62.1,52.2,41.8,22.3,46.9
1959,22.3,24.2,31,46,60.2,66.8,72.8,74.8,66.8,52.6,38.6,32.3,49.1
1960,26.5,27.2,24.1,48.4,58.1,65.8,69.1,69,64.3,50.6,42.8,21.6,47.3
1961,18.5,26.5,34.2,39.8,53.1,63.4,69.7,69.6,68.6,54.5,40.8,29.7,47.4
1962,22.6,21.3,32.5,44.9,60.9,64.9,68.2,68.1,58.6,51.5,37.1,25.1,46.3
1963,18.9,18.8,35.4,44.2,52.9,66.7,70.2,64.3,57.1,57.1,43.6,23.4,46.1
1964,29.3,23.5,34,46.9,59.2,65.7,73.1,64.9,60.9,48.1,42.1,29.5,48.1
1965,23.6,25.8,30,41.2,59.6,64.3,67.6,67.8,63.5,47.8,40,34.3,47.1
1966,20.4,24.9,34.7,43.3,52.2,67.4,71.4,68.5,58.7,48.8,41.5,28.6,46.7
1967,29.8,20.6,30.9,46.1,50.1,72.5,71.2,68.1,60.7,51.9,36.3,33,47.6
1968,19.9,20.7,35.7,49.2,53.4,64.8,71.2,69.4,66.1,53.5,40.7,26.8,47.6
1969,25,24.6,30.9,46.8,54.4,64.4,70.5,71.2,62.2,51,39.1,24.8,47.1
1970,17.6,24.8,30.1,46.9,57.3,66,71,70.2,64,54.5,41.6,27.4,47.6
1971,20.9,27,29.8,41.8,54.5,67.6,68.7,67.8,65.4,58.7,39.1,33.5,47.9
1972,25.5,22,30.1,41.1,59.1,62.6,71,67.7,62.8,46.2,36,30.8,46.2
1973,27.6,22.9,42.4,46.9,54.5,68.2,72.3,71.8,61.7,54.3,40.8,29,49.4
1974,27.1,22.3,33,46.2,53.1,65.6,69.9,69.9,59.6,49.2,40.2,31.7,47.3
1975,30.1,29.1,30.8,39.3,62.1,68,72.3,69.7,58.3,53.1,46.9,28.3,49
1976,19.7,31.8,37.2,46.5,53.4,68.4,67.8,67.5,60.1,46.3,34.1,22,46.2
1977,13.8,24.6,39.8,47,60.3,64.4,72,68.1,62.6,49.6,43.3,27.9,47.8
1978,20.4,15.5,28.2,42.5,57.4,65.1,70.4,70.3,60.8,49.5,40.4,30.4,45.9
1979,20.5,14.9,38.2,44.3,56.9,66.5,71.3,67.5,61.9,50.7,43.5,33.4,47.5
1980,25.8,21.2,31.8,46.1,58.1,61.9,71.7,72.6,62.4,48.7,39.4,25.3,47.1
1981,19.3,32.9,33.9,47.2,56.4,66.2,71.8,70,60.9,48.2,40.4,29,48
1982,17.2,23.2,32.5,41.6,61,62.2,71.8,65,61.6,52.6,43,37.5,47.4
1983,27,29.6,36.7,43.6,53.9,67.6,74.2,71.2,63.7,51.7,40.8,22.7,48.6
1984,20.4,33.8,27.1,47.7,52.9,67.8,70.3,70.3,58.5,53.2,39,35.6,48.1
1985,21.1,24.8,35.6,49.5,59.5,62.7,69.7,69.2,64.2,52.5,42,25.6,48
1986,25.5,24.5,36.2,47.8,59.7,64.1,71.1,67.9,61.8,50.9,37.7,32.4,48.3
1987,26.1,25,37.7,50,60.5,68.9,74.2,68.9,63.4,47.8,42.5,34.3,49.9
1988,26.6,24.3,35.2,46.1,59.7,64,74.8,72.4,62.1,46.9,43,30,48.8
1989,31.3,22.7,33,41.9,55.1,65.9,71.5,68.5,60.8,51.5,37.9,17.4,46.5
1990,33.4,29.3,36.9,48.5,54.9,66.7,71.4,70.4,61.7,52.5,43.4,34.4,50.3
1991,26,30.6,37.8,50.5,64.3,69.1,71.9,71,62,53.1,39.3,31.3,50.6
1992,27.1,27.7,31.6,43.8,57.3,63.4,66.8,66.3,61.6,47.9,40.2,31.9,47.1
1993,29.5,20.7,30.7,47.3,57,66,73.4,72,59.4,49.2,39.6,29.6,47.9
1994,17.2,22.8,33.4,48.2,54.7,69,73.3,68,61.9,52.2,45.1,34,48.3
1995,29.7,21.9,37.8,42.3,56.8,69.9,72.7,73,60,54.2,36.4,24.5,48.3
1996,22.5,24.2,29,42.2,54.5,67.8,68.5,70.5,62.7,51.7,35.4,33.5,46.9
1997,24.7,30.1,33.1,42.3,50.6,66.7,68.6,66.8,60.5,50.5,37.6,31.8,46.9
1998,31.1,34.1,36.5,46.8,62.8,65.3,69.6,71.2,63.7,52.6,42,35.3,50.9
1999,23.5,31,31,46,59.7,68.4,74.3,67.9,64.3,50.1,43.9,32,49.3
2000,23.6,29.9,40,44.2,57.5,64.9,67.6,68,61.2,52.3,38.8,22.1,47.5
2001,27,28.2,31.1,47.3,58.8,67,69.8,73,62.7,53,46.9,35.9,50.1
2002,31.6,31.2,34.2,46.2,51.8,67,73.4,71.5,66.9,49.3,39.4,28.4,49.2
2003,19,20.8,33.5,43,55.4,63.5,69.6,70.8,62.8,48.8,43.1,33.2,47
2004,17.4,25.5,37.1,46,58.2,63.6,69.1,67.2,65.2,51.6,42.4,29.7,47.8
2005,23.8,25.3,29.4,46.8,53.5,71.8,75,72.8,66,52.7,43.3,27.1,49
2006,34.9,27.9,35.2,48,60,68.3,73.7,69.7,60.5,49,44.6,37.2,50.6
2007,28.9,18.6,35,42.5,59.2,69.4,69.7,72.3,66.1,58.8,39,29.3,49.1
2008,29.7,25.1,31.5,50.9,53.3,67.9,71.4,68.5,64.2,49.6,39.8,29.4,48.4
2009,18.5,27.2,35.4,46.7,57.2,64.4,66.9,70.1,62.3,48.6,44.1,28.6,47.5
2010,23.2,24.6,38.1,51.1,60.2,67,73.5,71.7,62.6,50.9,41.5,26.2,49.2
2011,21.3,24.6,31.9,45.7,58.7,66.8,75.2,71.3,65.5,52.2,46.5,35.5,49.6
2012,30.3,31.7,47.4,45.2,63.8,68.2,75.5,71.7,63.2,52.2,39.3,36.3,52.1
2013,30,26,32.9,46.3,61.4,65.7,72.5,69,61.4,54.2,37.6,28,48.8
2014,20,19.8,26.7,45.8,57.7,68.8,68.6,69,63.2,53.4,37.8,33.5,47
2015,20.4,10.9,29.2,45.8,62.6,65.6,71,69.7,67.3,51.4,46.2,42.1,48.5
2016,26.9,29.7,39.9,43.1,58.9,67.6,74.1,75.6,67,54.4,45.1,31.2,51.1
2017,31,34.8,33,50.5,56.1,67.3,70.7,68.7,65.4,57,39.8,25.4,50
